index,x,y,is_super,final_state,secondary_infections
83,8.973924,9.373012,0,2,1
84,9.389856,3.859695,0,2,2
85,7.703480,0.509422,0,2,0
86,7.286362,0.779743,0,2,2
87,5.050643,4.864644,0,2,0
88,9.801007,6.174483,0,2,0
89,8.270018,0.786258,0,2,0
90,8.054499,7.292863,1,2,0
91,5.364292,8.641981,0,2,1
92,8.251910,6.717503,0,2,0
93,2.973990,0.862088,0,2,1
94,8.923053,0.138900,1,2,5
95,0.395538,8.521559,0,2,0
96,5.106372,8.187934,0,2,0
97,1.077172,3.293422,0,2,4
98,8.554265,9.973282,0,2,0
99,9.702611,4.639508,0,2,1
100,0.638072,9.438179,1,2,2
101,8.270349,1.046210,0,2,1
102,4.345860,1.656852,0,2,5
103,9.358240,3.860731,0,2,0
104,6.405113,4.874263,1,2,10
105,6.351385,4.763887,0,2,0
106,5.481321,0.190804,0,0,0
107,3.875158,9.256187,0,2,0
108,3.707372,1.402913,0,2,0
109,5.020860,9.859329,1,2,0
110,7.239157,1.820875,0,2,0
111,7.597858,7.275298,0,2,1
112,2.398415,5.653933,0,2,0
113,6.385386,8.982540,0,2,0
114,8.623180,5.817022,0,2,1
115,8.384886,9.607026,0,0,0
116,1.723327,3.072245,0,2,0
117,5.251284,3.911032,1,2,1
118,0.600378,2.333549,0,2,1
119,1.422066,7.722844,1,2,4
120,1.380166,9.206893,0,2,0
121,2.960886,3.008751,0,2,0
122,5.036371,6.224463,0,2,0
123,3.069999,0.598790,1,2,2
124,9.274480,9.122987,0,2,1
125,4.446862,1.402794,0,2,0
126,7.527370,0.714746,0,2,0
127,3.175877,2.648478,0,2,0
128,1.904940,3.913259,0,2,1
129,9.810448,8.353120,0,2,0
130,3.285074,1.012519,0,2,0
131,0.713213,8.892526,0,2,3
132,8.382677,0.181618,0,2,1
133,4.692677,5.364997,1,2,3
134,1.447501,3.205743,0,2,0
135,3.230108,9.050190,0,2,0
136,8.487935,1.910938,1,2,2
137,9.434374,9.093317,1,2,3
138,7.585735,6.924790,0,2,1
139,6.640286,5.968630,0,2,1
140,4.113551,0.116000,0,2,0
141,8.513941,6.897195,0,2,2
142,7.407772,5.439230,0,2,0
143,3.001149,7.123451,0,2,2
144,4.357027,6.900584,1,2,5
145,6.150381,7.246166,1,2,0
146,4.244549,1.811219,0,2,0
147,2.545344,6.584281,0,2,0
148,0.710473,5.379175,0,2,0
149,0.752420,0.923802,1,2,5
150,7.216813,5.731127,1,2,2
151,4.635648,1.872017,0,2,1
152,4.147697,2.870141,0,2,0
153,1.519914,3.129502,1,2,13
154,8.342733,1.251360,0,2,1
155,1.268857,7.746726,0,2,0
156,3.608450,4.121196,0,2,0
157,6.790129,4.827562,1,2,0
158,2.116743,7.794833,0,2,0
159,1.859431,4.222915,0,2,1
160,9.218107,2.498063,0,2,0
161,8.194675,2.789237,0,2,0
162,5.045569,7.325121,0,2,2
163,2.593801,3.840502,0,2,0
164,0.125375,0.746468,0,2,0
165,1.979518,5.811926,0,2,0
166,1.133378,9.437272,1,2,4
167,4.342293,2.342590,0,2,0
168,1.991408,5.803625,0,2,1
169,7.706889,7.881109,0,2,0
170,6.765522,1.638419,1,2,1
171,4.813852,7.489891,0,2,1
172,3.772276,9.987876,0,2,0
173,4.542808,8.592540,1,2,4
174,9.050398,0.007914,1,2,2
175,7.861830,9.871211,0,0,0
176,4.635175,1.060443,0,2,0
177,2.067256,2.372528,0,2,1
178,4.343562,7.786342,0,2,0
179,5.900801,7.988238,0,2,3
180,6.833374,6.062062,0,2,0
181,5.854947,6.575884,0,2,0
182,9.603113,2.089291,0,2,0
183,1.839604,6.375968,0,2,0
184,5.036975,8.009049,0,2,2
185,3.044108,9.716074,1,2,0
186,8.892585,7.890461,1,2,0
187,4.510320,5.847012,0,2,1
188,4.605178,9.098203,0,2,1
189,9.517645,1.071370,0,2,0
190,1.556599,5.767719,0,2,0
191,4.993717,3.178326,1,2,0
192,0.270293,4.240091,0,2,0
193,0.479756,0.056926,1,2,12
194,6.922905,7.573633,0,2,0
195,4.467902,6.959170,0,2,0
196,6.968792,0.857172,0,2,0
197,5.637959,3.577768,1,2,0
198,2.786540,2.079560,0,2,0
199,3.395488,8.493584,0,2,0
200,8.414650,6.057343,0,2,1
201,4.973313,9.826846,0,2,1
202,5.951771,6.301704,0,2,2
203,8.801922,6.717342,1,2,3
204,9.108103,2.824968,0,2,1
205,9.472890,1.736441,1,2,1
206,1.652545,3.502403,0,2,0
207,5.292107,8.865398,0,2,0
208,8.649471,2.436702,0,2,0
209,8.624102,2.862335,0,2,0
210,2.326603,8.411550,0,2,0
