index,x,y,is_super,final_state,secondary_infections
382,2.038148,6.424997,1,2,9
383,4.009858,0.236222,0,2,1
384,4.986090,3.474411,0,2,0
385,9.700969,6.885774,0,2,1
386,1.826707,9.379093,0,2,1
387,0.311975,9.124318,1,2,6
388,8.750425,1.349091,1,2,0
389,6.021762,2.027378,0,2,0
390,2.565249,2.893240,0,2,0
391,4.104119,4.240808,0,2,0
392,2.422822,6.701098,0,2,0
393,7.148959,0.204840,0,2,0
394,5.450222,2.663329,0,2,0
395,2.515398,2.076769,0,2,0
396,5.698537,4.058714,1,2,0
397,5.868175,3.892946,0,2,0
398,1.024103,7.157916,0,2,0
399,1.065618,3.833953,0,2,1
400,8.998368,1.280360,0,2,1
401,6.445159,1.833344,0,2,0
402,0.209472,1.421798,0,2,2
403,2.481933,2.231545,0,2,0
404,7.639815,6.078295,0,2,0
405,6.149164,8.835126,0,2,0
406,3.371819,0.260425,1,2,9
407,4.430645,6.928719,0,2,2
408,9.802216,9.717989,0,2,0
409,2.809157,0.195572,1,2,1
410,8.029820,5.807137,0,2,0
411,2.778541,3.912592,0,2,0
412,2.539928,5.606979,0,2,0
413,2.090952,3.803436,0,2,0
414,9.950769,1.477141,1,2,0
415,5.597380,2.750676,1,2,1
416,9.453132,7.843009,0,2,1
417,0.924765,0.491419,0,2,0
418,5.024523,3.400615,1,2,1
419,4.748139,1.752352,0,2,0
420,5.670020,4.096169,0,2,0
421,3.319585,9.348046,0,2,1
422,6.012611,9.487532,1,2,0
423,2.237261,9.773048,0,2,0
424,5.650944,4.920551,0,2,1
425,1.236878,1.641015,1,2,8
426,3.087630,9.056022,1,2,0
427,8.310313,2.237273,0,2,3
428,5.737072,7.236277,0,2,1
429,2.629932,2.786626,0,2,1
430,4.090970,7.761802,0,2,0
431,7.804769,5.551416,0,2,0
432,5.530861,8.613165,0,2,0
433,1.666005,9.933669,0,2,0
434,6.682244,3.527601,0,2,0
435,6.610542,5.265122,0,2,0
436,7.720374,3.173948,0,2,0
437,9.832676,4.308793,0,2,0
438,5.093885,2.405079,0,2,1
439,4.814162,0.612422,1,2,0
440,6.087392,2.660621,0,2,0
441,3.110312,7.282948,0,2,0
442,6.124640,3.290397,0,2,0
443,9.917160,8.688428,1,2,2
444,9.538616,6.739892,1,2,2
